Date,BTC-Open,BTC-High,BTC-Low,BTC-Close,Bitconnect-Open,Bitconnect-High,Bitconnect-Low,Bitconnect-Close,Dash-Open,Dash-High,Dash-Low,Dash-Close,ETH_Clsasic-Open,ETH_Clsasic-High,ETH_Clsasic-Low,ETH_Clsasic-Close,ETH-Open,ETH-High,ETH-Low,ETH-Close,iota-Open,Iota-High,Iota-Low,Iota-Close,ltc-Open,Ltc-High,Ltc-Low,Ltc-Close,Monero_Open,Monero_High,Monero_Low,Monero_Close,nem-Open,Nem-High,Nem-Low,Nem-Close,neo-Open,Neo-High,Neo-Low,Neo-Close,Numeraire-USD-Open,Numeraire-USD-High,Numeraire-USD-Low,Numeraire-USD-Close,quantum-Open,Quantum-High,Quantum-Low,Quantum-Close,Ripple-Open,Ripple-High,Ripple-Low,Ripple-Close,stratis-Open,Stratis-High,Stratis-Low,Stratis-Close,waves-Open,Waves-High,Waves-Low,Waves-Close,BITCOIN-Close
"Feb 20, 2018",1543.27,1569.03,1414.35,1418.73,3.97,4.16,3.44,3.52,728.99,738.74,685.04,685.04,39.41,43.96,38.23,38.47,943.57,965.26,892.95,895.37,2.09,2.12,1.88,1.91,223.09,253.9,222.51,232.85,317,321.73,303.79,304.4,0.529133,0.529133,0.481098,0.484397,137.95,142.01,127.86,128.36,24.47,29.84,23.59,23.84,17.72,20.2,17.71,18.4,1.14,1.17,1.08,1.09,9.91,10.17,9.02,9.13,8.1,8.49,7.94,8.03,11403.7
"Feb 19, 2018",1483.34,1553.81,1483.34,1534.77,3.69,4.15,3.62,3.95,687.7,731.11,687.22,728.73,34.69,40.26,33.93,39.29,921.67,957.78,921.55,943.87,1.99,2.14,1.99,2.09,215.41,226.97,215.38,223.06,299.7,319.73,297.65,316.49,0.528994,0.537727,0.518834,0.529261,127.23,138.52,126.7,137.47,20.37,27.24,20.28,24.42,16.49,18.37,16.32,17.69,1.12,1.17,1.12,1.14,9.26,10.18,9.1,9.95,7.54,8.15,7.44,8.1,11225.3
"Feb 18, 2018",1552.1,1641.4,1428.49,1487.46,4.34,4.34,3.66,3.7,744.09,747.42,673.57,689.28,35.01,35.08,31.52,34.88,973.35,982.93,915.45,923.92,2.2,2.21,1.98,1.98,230.51,232.64,214.46,215.74,325.96,327.77,294.42,300.12,0.595298,0.595298,0.527599,0.530407,136.4,137.95,124.32,127.38,22.69,23.78,20.43,20.43,18.32,18.41,16.35,16.66,1.2,1.21,1.09,1.12,9.76,9.78,8.82,9.26,7.84,8.09,7.13,7.54,10551.8
"Feb 17, 2018",1548.48,1568.64,1517.14,1551.39,4.08,4.38,4.01,4.31,699.13,748.89,693.64,742.16,34.97,35.4,34.38,34.99,944.75,976.6,940.75,974.12,2.1,2.21,2.08,2.2,229.5,233.45,225.6,229.47,296,334.71,293.13,325.67,0.565686,0.602952,0.560204,0.59888,131.03,139.8,129.42,136.75,21.24,23.32,20.99,23.25,18.17,18.64,17.69,18.29,1.14,1.22,1.13,1.2,9.53,9.95,9.42,9.76,7.88,7.96,7.63,7.84,11112.7
"Feb 16, 2018",1373.16,1558.66,1369.68,1552.2,4.06,4.19,3.87,4.13,702.53,722.02,684.28,698.86,34.43,35.34,32.9,35.03,934.79,950,917.85,944.21,2.12,2.18,2,2.1,225.5,236.09,212.33,230.12,301.01,302.1,280.22,296.48,0.560086,0.598202,0.548458,0.568887,123.02,130.62,119.94,128.85,22.06,22.68,20.55,21.25,16.67,18.23,16.03,18.17,1.14,1.15,1.11,1.14,9.5,9.79,9,9.56,8,8.36,7.49,7.9,10233.9
"Feb 15, 2018",1358.65,1400.71,1330.18,1375.81,3.86,4.3,3.7,4.04,679.79,705.67,667.21,703.86,34.83,35.65,32.83,34.53,923.73,951.95,911.11,936.98,2.03,2.17,2,2.13,212.35,237.88,211.17,225.43,276.08,304.78,269.32,303.25,0.569045,0.588881,0.544115,0.561359,122,125.76,118.79,123.29,22.04,23.17,21.13,22.16,15.63,16.71,14.99,16.67,1.14,1.16,1.11,1.15,9.26,9.76,9.08,9.54,6.42,8.07,6.38,8.07,10166.4
"Feb 14, 2018",1229.18,1384.06,1229.18,1362.27,3.05,5.52,3.05,3.73,593.59,685.12,593.59,678.98,34.32,36.44,33.4,35.04,844.28,926.43,844.28,923.56,1.82,2.03,1.79,2.03,159.58,218.23,159.58,213.36,234.34,276.66,234.34,276.66,0.53192,0.570553,0.528626,0.570005,110.86,123.03,110.86,122.52,20.37,22.31,19.81,22.1,12.97,15.72,12.97,15.66,1.03,1.17,1.02,1.14,7.91,9.74,7.91,9.36,5.59,6.44,5.58,6.42,9494.63
"Feb 13, 2018",1285.23,1289.42,1205.73,1231.98,3,3.19,2.83,3.03,622.12,625.75,583.4,595.47,29.88,34.73,28.32,33.96,869.29,870.71,828.84,845.26,1.87,1.87,1.75,1.81,161.78,162.37,153.51,159.55,247.99,248.88,230.03,234.69,0.560197,0.567745,0.52682,0.533186,113.64,114.93,108.64,111.17,21.73,22.22,20.18,20.18,12.88,13.06,12.31,12.99,1.08,1.08,1.01,1.03,7.93,8.24,7.55,7.95,5.74,5.76,5.4,5.6,8598.31
"Feb 12, 2018",1222.43,1302.66,1222.43,1283.91,2.24,3.12,2.23,3.01,582.83,626.77,582.83,620.56,24.31,30.33,24.31,29.88,817.51,875.94,817.51,868.71,1.71,1.91,1.71,1.87,150.1,163.35,150.1,161.57,229.87,251.41,229.87,247.57,0.532219,0.561441,0.530871,0.557894,104.18,115.85,104.18,113.25,18.43,24.17,17.81,21.98,11.95,13,11.93,12.84,1.01,1.11,1.01,1.08,7.03,7.98,7.03,7.9,5.49,5.89,5.49,5.72,8926.57
"Feb 11, 2018",1255.59,1306.2,1197.87,1217.64,2.35,2.39,2.12,2.25,633.43,633.43,561.91,580.02,24.53,26,21.42,24.13,859.29,859.29,788.22,814.66,1.86,1.86,1.62,1.7,155.39,155.73,142.61,148.99,249.44,249.44,219.23,229.49,0.589823,0.589823,0.514947,0.52864,110.45,113.19,96.78,103.4,19.85,20.74,16.24,18.31,12.54,12.67,11.06,11.86,1.07,1.08,0.929767,1,7.84,7.84,6.61,6.99,5.72,5.72,5.01,5.45,8129.97
"Feb 10, 2018",1311.99,1394.81,1215.72,1257.31,2.19,2.64,2.19,2.39,639.42,672.16,604.84,634.1,25.95,26.65,23.08,24.52,882.47,917.4,825.58,860.41,1.96,2.13,1.79,1.86,163.49,169.33,149.14,155.59,260.59,271.82,243.91,250.03,0.598384,0.64492,0.55753,0.590511,117.21,122.84,104.98,110.63,16.17,21.7,15.41,19.39,13.2,13.88,11.93,12.51,0.947251,1.3,0.947251,1.07,8.26,8.86,7.19,7.86,6.06,6.32,5.47,5.72,8621.9
"Feb 09, 2018",1273.87,1342.41,1206.39,1312.11,2.34,2.35,2.09,2.19,606.76,638.33,577.45,637.82,21.89,26.21,21,26,818.48,884,788.83,883.87,1.78,1.97,1.7,1.96,149.73,163.98,142.59,163.95,247.82,260.84,233.44,260.43,0.544268,0.590486,0.517372,0.590486,111.99,117.65,108.84,117.57,15.57,16.65,14.43,16.16,12.21,13.21,11.56,13.2,0.79714,0.954428,0.77154,0.954428,7.31,8.22,6.95,8.21,5.6,6.09,5.3,6.04,8736.98
